; Date and time are: 2010-12-18T23:22:13
; Resolution: 670x490
time,input type,event type,target widget class,details
28796,Mouse,MouseMove,QWidget 1,237;229;
28813,Mouse,MouseMove,QWidget 1,237;230;
28830,Mouse,MouseMove,QWidget 1,236;230;
28863,Mouse,MouseMove,QWidget 1,235;230;
28896,Mouse,MouseMove,QWidget 1,234;230;
28913,Mouse,MouseMove,QWidget 1,234;231;
28930,Mouse,MouseMove,QWidget 1,233;231;
28996,Mouse,MouseMove,QWidget 1,232;231;
29196,Mouse,MouseMove,QWidget 1,231;231;
29263,Mouse,MouseMove,QWidget 1,230;231;
29708,Mouse,MouseButtonPress,QWidget 1,230;231;L
29726,Mouse,MouseButtonRelease,QWidget 1,230;231;
30130,Mouse,MouseMove,QWidget 1,230;233;
30147,Mouse,MouseMove,QWidget 1,230;236;
30164,Mouse,MouseMove,QWidget 1,230;238;
30181,Mouse,MouseMove,QWidget 1,230;241;
30197,Mouse,MouseMove,QWidget 1,230;242;
30264,Mouse,MouseMove,QWidget 1,230;244;
30331,Mouse,MouseMove,QWidget 1,230;245;
30811,Mouse,MouseButtonPress,QWidget 1,230;245;L
30829,Mouse,MouseButtonRelease,QWidget 1,230;245;
31131,Mouse,MouseMove,QWidget 1,230;246;
31148,Mouse,MouseMove,QWidget 1,230;247;
31165,Mouse,MouseMove,QWidget 1,230;248;
31181,Mouse,MouseMove,QWidget 1,230;249;
31198,Mouse,MouseMove,QWidget 1,230;250;
31215,Mouse,MouseMove,QWidget 1,231;250;
31231,Mouse,MouseMove,QWidget 1,231;251;
31265,Mouse,MouseMove,QWidget 1,232;251;
31282,Mouse,MouseMove,QWidget 1,232;252;
31332,Mouse,MouseMove,QWidget 1,233;253;
31348,Mouse,MouseMove,QWidget 1,233;254;
31365,Mouse,MouseMove,QWidget 1,234;254;
31398,Mouse,MouseMove,QWidget 1,235;255;
31415,Mouse,MouseMove,QWidget 1,236;255;
31432,Mouse,MouseMove,QWidget 1,237;255;
31448,Mouse,MouseMove,QWidget 1,238;255;
31465,Mouse,MouseMove,QWidget 1,240;255;
31498,Mouse,MouseMove,QWidget 1,242;256;
31515,Mouse,MouseMove,QWidget 1,244;257;
31549,Mouse,MouseMove,QWidget 1,245;257;
31565,Mouse,MouseMove,QWidget 1,247;258;
31582,Mouse,MouseMove,QWidget 1,249;259;
31598,Mouse,MouseMove,QWidget 1,251;259;
31615,Mouse,MouseMove,QWidget 1,253;260;
31665,Mouse,MouseMove,QWidget 1,254;261;
31682,Mouse,MouseMove,QWidget 1,255;261;
31715,Mouse,MouseMove,QWidget 1,256;261;
31749,Mouse,MouseMove,QWidget 1,258;262;
31765,Mouse,MouseMove,QWidget 1,259;263;
31782,Mouse,MouseMove,QWidget 1,263;265;
31798,Mouse,MouseMove,QWidget 1,265;267;
31815,Mouse,MouseMove,QWidget 1,273;270;
31832,Mouse,MouseMove,QWidget 1,276;272;
31848,Mouse,MouseMove,QWidget 1,280;275;
31865,Mouse,MouseMove,QWidget 1,286;279;
31882,Mouse,MouseMove,QWidget 1,291;281;
31898,Mouse,MouseMove,QWidget 1,299;287;
31915,Mouse,MouseMove,QWidget 1,307;292;
31932,Mouse,MouseMove,QWidget 1,315;296;
31948,Mouse,MouseMove,QWidget 1,324;300;
31965,Mouse,MouseMove,QWidget 1,327;302;
31982,Mouse,MouseMove,QWidget 1,337;308;
32008,Mouse,MouseMove,QWidget 1,339;309;
32015,Mouse,MouseMove,QWidget 1,341;310;
32032,Mouse,MouseMove,QWidget 1,343;311;
32049,Mouse,MouseMove,QWidget 1,345;312;
32065,Mouse,MouseMove,QWidget 1,346;312;
32082,Mouse,MouseMove,QWidget 1,346;313;
32099,Mouse,MouseMove,QWidget 1,347;314;
32132,Mouse,MouseMove,QWidget 1,348;315;
32149,Mouse,MouseMove,QWidget 1,349;315;
32166,Mouse,MouseMove,QWidget 1,349;316;
32182,Mouse,MouseMove,QWidget 1,350;316;
32199,Mouse,MouseMove,QWidget 1,350;317;
32816,Mouse,MouseMove,QWidget 1,349;317;
32866,Mouse,MouseMove,QWidget 1,348;317;
32899,Mouse,MouseMove,QWidget 1,347;316;
32933,Mouse,MouseMove,QWidget 1,345;315;
32949,Mouse,MouseMove,QWidget 1,344;315;
32966,Mouse,MouseMove,QWidget 1,343;315;
32983,Mouse,MouseMove,QWidget 1,342;315;
33000,Mouse,MouseMove,QWidget 1,341;314;
33033,Mouse,MouseMove,QWidget 1,340;314;
33050,Mouse,MouseMove,QWidget 1,339;314;
33066,Mouse,MouseMove,QWidget 1,339;313;
33133,Mouse,MouseMove,QWidget 1,338;312;
33567,Mouse,MouseButtonPress,QWidget 1,338;312;L
33586,Mouse,MouseButtonRelease,QWidget 1,338;312;
33834,Mouse,MouseMove,QWidget 1,340;312;
33867,Mouse,MouseMove,QWidget 1,342;312;
